code,title,author,genre,publicationYear
10001,El Sexto,Jose Maria Arguedas,Novela,1961
10002,Conversacion en La Catedral,Mario Vargas Llosa,Novela,1969
10003,Tradiciones Peruanas,Ricardo Palma,Cuentos,1872
10004,Los Heraldos Negros,Cesar Vallejo,Poesia,1919
10005,La Ciudad y los Perros,Mario Vargas Llosa,Novela,1963
10006,Cien Anos de Soledad,Gabriel Garcia Marquez,Novela,1967
10007,Como Agua para Chocolate,Laura Esquivel,Novela,1989
10008,La Casa de los Espiritus,Isabel Allende,Novela,1982
10009,El Amor en los Tiempos del Colera,Gabriel Garcia Marquez,Novela,1985
10010,Don Quijote de la Mancha,Miguel de Cervantes,Novela,1605
10011,El Alquimista,Paulo Coelho,Novela,1988
10012,Cronica de una Muerte Anunciada,Gabriel Garcia Marquez,Novela,1981
10013,La Sombra del Viento,Carlos Ruiz Zafon,Novela,2001
10014,El Principito,Antoine de Saint-Exupery,Ficcion,1943
10015,Rayuela,Julio Cortazar,Novela,1963
10016,La Fiesta del Chivo,Mario Vargas Llosa,Novela,2000
10017,El Otono del Patriarca,Gabriel Garcia Marquez,Novela,1975
10018,Ficciones,Jorge Luis Borges,Cuentos,1944
10019,El Laberinto de los Espiritus,Carlos Ruiz Zafon,Novela,2016
10020,La Chica del Tren,Paula Hawkins,Thriller,2015
10021,El Codigo Da Vinci,Dan Brown,Misterio,2003
10022,Los Juegos del Hambre,Suzanne Collins,Ciencia Ficcion,2008
10023,Harry Potter y la Piedra Filosofal,J.K. Rowling,Fantasia,1997
10024,El Nombre del Viento,Patrick Rothfuss,Fantasia,2007
10025,Orgullo y Prejuicio,Jane Austen,Romance,1813
10026,Cumbres Borrascosas,Emily Bronte,Clasico,1847
10027,El Silencio de los Corderos,Thomas Harris,Horror,1988
10028,Veinte Mil Leguas de Viaje Submarino,Julio Verne,Aventura,1870
10029,El Hombre en Busca de Sentido,Viktor Frankl,No Ficcion,1946
10030,Sapiens: De Animales a Dioses,Yuval Noah Harari,Historia,2011
10031,El Arte de la Guerra,Sun Tzu,Estrategia,1772
10032,Un Mundo Feliz,Aldous Huxley,Distopia,1932
10033,El Hobbit,J.R.R. Tolkien,Fantasia,1937
10034,Rebelion en la Granja,George Orwell,Satira,1945
10035,El Gran Gatsby,F. Scott Fitzgerald,Clasico,1925
10036,Dracula,Bram Stoker,Horror,1897
10037,La Tia Julia y el Escribidor,Mario Vargas Llosa,Novela,1977
10038,El Pragmatic Programmer,Andrew Hunt y Dave Thomas,Programacion,1999
10039,Codigo Limpio: Manual de Artesania de Software Agil,Robert C. Martin,Programacion,2008
10040,Codigo Completo,Steve McConnell,Programacion,1993
10041,La Entrevista de Trabajo de Programacion,Gayle Laakmann McDowell,Programacion,2008
10042,El Arte de Programar Computadoras,Donald E. Knuth,Algoritmos,1968
10043,Patrones de Diseno: Elementos de Software Orientado a Objetos Reutilizable,Erich Gamma,Patrones de Diseno,1994
10044,Refactoring: Mejorando el Diseno del Codigo Existente,Martin Fowler,Refactoring,1999
10045,Patrones de Diseno: Una Introduccion Enfocada en C# y .NET,Eric Freeman,Patrones de Diseno,2004
10046,Perlas de Programacion,Jon Bentley,Algoritmos,1986
10047,El Mitico Hombre-Mes,Frederick P. Brooks Jr.,Gestion de Proyectos,1975
10048,Java Eficaz,Joshua Bloch,Java,2001
10049,Curso Intensivo de Python,Eric Matthes,Python,2016
10050,JavaScript: Lo Bueno, Douglas Crockford,JavaScript,2008

